family,genus,species,wd,region,referenceNumber,regionId
Fabaceae,Abarema,jupunba,0.78,South_America_(tropical),114,SouthAmericaTrop
Fabaceae,Abarema,jupunba,0.66,South_America_(tropical),198,SouthAmericaTrop
Fabaceae,Abarema,jupunba,0.551,South_America_(tropical),52,SouthAmericaTrop
Fabaceae,Abarema,jupunba,0.534,South_America_(tropical),65,SouthAmericaTrop
Fabaceae,Abarema,jupunba,0.551,South_America_(tropical),189,SouthAmericaTrop
Fabaceae,Abarema,jupunba,0.5,South_America_(tropical),204,SouthAmericaTrop
Fabaceae,Abarema,jupunba,0.52,South_America_(tropical),45,SouthAmericaTrop
Fabaceae,Abarema,macradenia,0.438,Central_America_(tropical),167,CentralAmericaTrop
Pinaceae,Abies,alba,0.353,Europe,28,Europe
Pinaceae,Abies,amabilis,0.4,NorthAmerica,7,NorthAmerica
Pinaceae,Abies,arizonica,0.289,NorthAmerica,118,NorthAmerica
Pinaceae,Abies,balsamea,0.33,NorthAmerica,7,NorthAmerica
Pinaceae,Abies,concolor,0.37,NorthAmerica,7,NorthAmerica
Pinaceae,Abies,delavayi,0.4,China,32,China
Pinaceae,Abies,ernestii,0.36,China,32,China
Pinaceae,Abies,fabri,0.373,China,33,China
Pinaceae,Abies,fargesii,0.34,China,32,China
Pinaceae,Abies,faxoniana,0.385,China,33,China
Pinaceae,Abies,forrestii,0.35,China,32,China
Pinaceae,Abies,georgei,0.441,China,33,China
Pinaceae,Abies,georgei,0.425,China,33,China
Pinaceae,Abies,grandis,0.35,NorthAmerica,7,NorthAmerica
Pinaceae,Abies,guatemalensis,0.43,Central_America_(tropical),116,CentralAmericaTrop
Pinaceae,Abies,holophylla,0.336,China,33,China
Pinaceae,Abies,lasiocarpa,0.31,NorthAmerica,7,NorthAmerica
Pinaceae,Abies,magnifica,0.36,NorthAmerica,7,NorthAmerica
Pinaceae,Abies,nephrolepis,0.331,China,33,China
Pinaceae,Abies,nephrolepis,0.316,China,33,China
Pinaceae,Abies,pindrow,0.38,India,109,India
Pinaceae,Abies,pinsapo,0.41,Europe,76,Europe
Pinaceae,Abies,procera,0.37,NorthAmerica,7,NorthAmerica
Pinaceae,Abies,religiosa,0.38,Mexico,51,Mexico
Menispermaceae,Abuta,rufescens,0.45,South_America_(tropical),45,SouthAmericaTrop
Fabaceae,Acacia,acradenia,0.904,Australia,90,Australia
Fabaceae,Acacia,acuminata,0.895,Australia,90,Australia
Fabaceae,Acacia,acuminata,1.008,Australia,90,Australia
Fabaceae,Acacia,adsurgens,0.887,Australia,90,Australia
Fabaceae,Acacia,albicorticata,0.49,South_America_(tropical),44,SouthAmericaTrop
Fabaceae,Acacia,alleniana,0.56,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,ampliceps,0.568,Australia,90,Australia
Fabaceae,Acacia,amythethophylla,1.007,Africa_(extratropical),72,AfricaExtraTrop
Fabaceae,Acacia,aneura,1.033,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,aneura,1.035,Australia,90,Australia
Fabaceae,Acacia,aneura,1.019,Australia,90,Australia
Fabaceae,Acacia,aneura,0.929,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,aneura,0.861,Australia,90,Australia
Fabaceae,Acacia,aneura,0.996,Australia,90,Australia
Fabaceae,Acacia,aneura,1.044,Australia,90,Australia
Fabaceae,Acacia,aneura,0.92,Australia,58,Australia
Fabaceae,Acacia,aneura,0.982,Australia,137,Australia
Fabaceae,Acacia,angustissima,0.85,Mexico,23,Mexico
Fabaceae,Acacia,arabica,0.86,India,26,India
Fabaceae,Acacia,aroma,0.808,South_America_(extratropical),66,SouthAmericaExtraTrop
Fabaceae,Acacia,atkinsiana,0.89,Australia,90,Australia
Fabaceae,Acacia,aulacocarpa,0.581,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,aulacocarpa,0.612,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,aulacocarpa,0.594,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,aulacocarpa,0.689,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,aulacocarpa,0.86,Australia,90,Australia
Fabaceae,Acacia,aulacocarpa,0.594,Australia/PNG_(tropical),27,AustraliaTrop
Fabaceae,Acacia,auriculiformis,0.68,Australia,58,Australia
Fabaceae,Acacia,bakeri,0.771,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,bidwillii,0.67,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,bivenosa,0.65,Australia,90,Australia
Fabaceae,Acacia,bivenosa,0.62,Australia,90,Australia
Fabaceae,Acacia,brachystachya,1.01,Australia,90,Australia
Fabaceae,Acacia,brachystachya,0.97,Australia,90,Australia
Fabaceae,Acacia,cambagei,1.048,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,cambagei,1.099,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,cambagei,1.06,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,cambagei,1.158,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,cambagei,1.05,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,catechu,0.801,South-East_Asia_(tropical),14,SouthEastAsiaTrop
Fabaceae,Acacia,caven,0.765,South_America_(extratropical),66,SouthAmericaExtraTrop
Fabaceae,Acacia,caven,0.8,South_America_(tropical),110,SouthAmericaTrop
Fabaceae,Acacia,chisholmii,0.76,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,chisholmii,0.827,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,chundra,0.98,India,109,India
Fabaceae,Acacia,citrinoviridis,0.88,Australia,90,Australia
Fabaceae,Acacia,citrinoviridis,0.81,Australia,90,Australia
Fabaceae,Acacia,cochliacantha,0.94,Mexico,23,Mexico
Fabaceae,Acacia,colei,0.61,Australia,90,Australia
Fabaceae,Acacia,colei,0.766,Australia,90,Australia
Fabaceae,Acacia,collinsii,0.8,Central_America_(tropical),116,CentralAmericaTrop
Fabaceae,Acacia,concurrens,0.758,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,confusa,0.713,China,33,China
Fabaceae,Acacia,confusa,0.753,China,33,China
Fabaceae,Acacia,confusa,0.672,China,33,China
Fabaceae,Acacia,confusa,0.791,China,33,China
Fabaceae,Acacia,coriacea,0.96,Australia,90,Australia
Fabaceae,Acacia,coriacea,0.916,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,craspedocarpa,0.887,Australia,90,Australia
Fabaceae,Acacia,crassicarpa,0.577,Australia,90,Australia
Fabaceae,Acacia,crassicarpa,0.618,Australia,90,Australia
Fabaceae,Acacia,crassicarpa,0.581,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,crassicarpa,0.61,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,dealbata,0.568,South_America_(extratropical),46,SouthAmericaExtraTrop
Fabaceae,Acacia,dealbata,0.6,Australia,90,Australia
Fabaceae,Acacia,dealbata,0.572,Australia,90,Australia
Fabaceae,Acacia,dealbata,0.607,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,decurrens,0.551,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,decurrens,0.551,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,decurrens,0.582,China,33,China
Fabaceae,Acacia,decurrens,0.539,China,33,China
Fabaceae,Acacia,dictyophleba,0.762,Australia,90,Australia
Fabaceae,Acacia,difficilis,0.77,Australia,90,Australia
Fabaceae,Acacia,difficilis,0.784,Australia,90,Australia
Fabaceae,Acacia,doratoxylon,0.788,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,elata,0.51,South-East_Asia_(tropical),129,SouthEastAsiaTrop
Fabaceae,Acacia,erioloba,1.059,Africa_(extratropical),72,AfricaExtraTrop
Fabaceae,Acacia,eriopoda,0.9,Australia,90,Australia
Fabaceae,Acacia,excelsa,0.938,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,excelsa,0.937,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,fasciculifera,0.964,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,ferruginea,0.88,India,109,India
Fabaceae,Acacia,furcatispina,0.869,South_America_(extratropical),66,SouthAmericaExtraTrop
Fabaceae,Acacia,galpinii,0.659,Africa_(extratropical),72,AfricaExtraTrop
Fabaceae,Acacia,georginae,0.775,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,gerrardii,0.775,Africa_(extratropical),72,AfricaExtraTrop
Fabaceae,Acacia,glaucocarpa,0.78,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,goetzei,0.883,Africa_(extratropical),72,AfricaExtraTrop
Fabaceae,Acacia,grasbyi,1.054,Australia,90,Australia
Fabaceae,Acacia,grasbyi,0.86,Australia,90,Australia
Fabaceae,Acacia,grasbyi,1.032,Australia,90,Australia
Fabaceae,Acacia,harpophylla,0.908,Australia,90,Australia
Fabaceae,Acacia,harpophylla,0.884,Australia,90,Australia
Fabaceae,Acacia,harpophylla,0.883,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,harpophylla,0.91,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,hemignosta,0.646,Australia,90,Australia
Fabaceae,Acacia,hemsleyi,0.6,Australia,90,Australia
Fabaceae,Acacia,hindsii,0.78,Mexico,23,Mexico
Fabaceae,Acacia,holosericea,0.749,Africa_(tropical),4,AfricaTrop
Fabaceae,Acacia,implexa,0.589,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,implexa,0.689,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,irrorata,0.551,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,jennerae,0.742,Australia,90,Australia
Fabaceae,Acacia,karroo,0.689,Africa_(extratropical),72,AfricaExtraTrop
Fabaceae,Acacia,laccata,0.723,Australia,90,Australia
Fabaceae,Acacia,lasiocalyx,0.684,Australia,90,Australia
Fabaceae,Acacia,leucophloea,0.45,Australia,60,Australia
Fabaceae,Acacia,longifolia,0.51,Australia,129,Australia
Fabaceae,Acacia,maconochieana,0.8,Australia,90,Australia
Fabaceae,Acacia,maconochieana,0.801,Australia,90,Australia
Fabaceae,Acacia,macracantha,0.73,South_America_(tropical),44,SouthAmericaTrop
Fabaceae,Acacia,maidenii,0.62,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,mangium,0.448,Australia/PNG_(tropical),40,AustraliaTrop
Fabaceae,Acacia,mangium,0.474,Australia/PNG_(tropical),203,AustraliaTrop
Fabaceae,Acacia,mangium,0.519,Australia/PNG_(tropical),203,AustraliaTrop
Fabaceae,Acacia,mangium,0.474,Australia/PNG_(tropical),203,AustraliaTrop
Fabaceae,Acacia,mangium,0.594,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,mangium,0.49,Australia/PNG_(tropical),129,AustraliaTrop
Fabaceae,Acacia,mangium,0.55,Australia/PNG_(tropical),60,AustraliaTrop
Fabaceae,Acacia,mayana,0.73,Mexico,23,Mexico
Fabaceae,Acacia,mearnsii,0.671,Australia/PNG_(tropical),46,AustraliaTrop
Fabaceae,Acacia,mearnsii,0.65,Australia/PNG_(tropical),60,AustraliaTrop
Fabaceae,Acacia,mearnsii,0.658,Australia/PNG_(tropical),63,AustraliaTrop
Fabaceae,Acacia,melanoxylon,0.568,South_America_(extratropical),46,SouthAmericaExtraTrop
Fabaceae,Acacia,melanoxylon,0.57,Australia,38,Australia
Fabaceae,Acacia,melanoxylon,0.389,Oceania,203,Oceania
Fabaceae,Acacia,melanoxylon,0.416,Oceania,203,Oceania
Fabaceae,Acacia,melanoxylon,0.637,Australia,203,Australia
Fabaceae,Acacia,melanoxylon,0.555,Australia,90,Australia
Fabaceae,Acacia,melanoxylon,0.559,Australia,90,Australia
Fabaceae,Acacia,melanoxylon,0.551,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,mellifera,0.947,Africa_(extratropical),72,AfricaExtraTrop
Fabaceae,Acacia,modesta,0.835,India,135,India
Fabaceae,Acacia,murrayana,0.519,Australia,90,Australia
Fabaceae,Acacia,nilotica,0.654,Australia,63,Australia
Fabaceae,Acacia,nilotica,0.689,Australia,202,Australia
Fabaceae,Acacia,nilotica,0.827,Australia,72,Australia
Fabaceae,Acacia,omalophylla,1.063,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,omalophylla,1.063,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,oraria,0.92,Australia/PNG_(tropical),129,AustraliaTrop
Fabaceae,Acacia,oshanesii,0.771,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,oshanesii,0.771,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,oswaldii,0.976,Australia,90,Australia
Fabaceae,Acacia,pachycarpa,0.87,Australia,90,Australia
Fabaceae,Acacia,pallidifolia,0.68,Australia,90,Australia
Fabaceae,Acacia,papyrocarpa,1.073,Australia,90,Australia
Fabaceae,Acacia,papyrocarpa,0.887,Australia,90,Australia
Fabaceae,Acacia,papyrocarpa,0.966,Australia,90,Australia
Fabaceae,Acacia,pellita,0.67,Australia,90,Australia
Fabaceae,Acacia,pendula,0.994,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,penninervis,0.605,Australia,90,Australia
Fabaceae,Acacia,penninervis,0.668,Australia,90,Australia
Fabaceae,Acacia,peuce,1.227,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,podalyriifolia,0.68,Australia,129,Australia
Fabaceae,Acacia,polyacantha,0.671,Australia,137,Australia
Fabaceae,Acacia,polyacantha,0.607,Australia,72,Australia
Fabaceae,Acacia,polyphylla,0.79,South_America_(tropical),114,SouthAmericaTrop
Fabaceae,Acacia,polyphylla,0.637,South_America_(tropical),57,SouthAmericaTrop
Fabaceae,Acacia,polyphylla,0.6,South_America_(tropical),77,SouthAmericaTrop
Fabaceae,Acacia,polyphylla,0.49,South_America_(tropical),44,SouthAmericaTrop
Fabaceae,Acacia,praecox,0.765,South_America_(extratropical),66,SouthAmericaExtraTrop
Fabaceae,Acacia,pruinocarpa,0.981,Australia,90,Australia
Fabaceae,Acacia,pruinocarpa,0.897,Australia,90,Australia
Fabaceae,Acacia,pubescens,0.6,Australia,38,Australia
Fabaceae,Acacia,pubescens,0.587,Australia,90,Australia
Fabaceae,Acacia,pubescens,0.664,Australia,90,Australia
Fabaceae,Acacia,quadrimarginea,0.922,Australia,90,Australia
Fabaceae,Acacia,ramulosa,1.007,Australia,90,Australia
Fabaceae,Acacia,resinimarginea,0.996,Australia,90,Australia
Fabaceae,Acacia,rhodoxylon,1.102,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,richii,0.7,South_America_(tropical),136,SouthAmericaTrop
Fabaceae,Acacia,robusta,0.732,Africa_(extratropical),72,AfricaExtraTrop
Fabaceae,Acacia,salicina,0.581,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,sclerosperma,0.86,Australia,90,Australia
Fabaceae,Acacia,shirleyi,1.02,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,shirleyi,1.0,Australia,90,Australia
Fabaceae,Acacia,shirleyi,0.856,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,shirleyi,0.904,Australia,90,Australia
Fabaceae,Acacia,sibilans,0.97,Australia,90,Australia
Fabaceae,Acacia,spectabilis,0.766,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,stenophylla,0.775,Australia,90,Australia
Fabaceae,Acacia,stenophylla,0.827,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,stenophylla,0.69,Australia,90,Australia
Fabaceae,Acacia,stipuligera,0.81,Australia,90,Australia
Fabaceae,Acacia,subtessarogona,1.097,Australia,90,Australia
Fabaceae,Acacia,suma,1.21,India,26,India
Fabaceae,Acacia,tenuifolia,0.49,South_America_(tropical),44,SouthAmericaTrop
Fabaceae,Acacia,tetragonophylla,0.874,Australia,90,Australia
Fabaceae,Acacia,tetragonophylla,1.002,Australia,90,Australia
Fabaceae,Acacia,tomentosa,0.51,South-East_Asia_(tropical),129,SouthEastAsiaTrop
Fabaceae,Acacia,trinervata,0.758,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,tucumanensis,0.63,South_America_(tropical),134,SouthAmericaTrop
Fabaceae,Acacia,victoriae,0.692,Australia,90,Australia
Fabaceae,Acacia,visco,0.688,South_America_(extratropical),66,SouthAmericaExtraTrop
Fabaceae,Acacia,xanthophloea,0.758,Africa_(extratropical),72,AfricaExtraTrop
Fabaceae,Acacia,xiphophylla,1.137,Australia,90,Australia
Euphorbiaceae,Acalypha,caturus,0.3,South-East_Asia_(tropical),16,SouthEastAsiaTrop
Santalaceae,Acanthosyris,falcata,0.645,South_America_(extratropical),66,SouthAmericaExtraTrop
Santalaceae,Acanthosyris,falcata,0.646,South_America_(extratropical),46,SouthAmericaExtraTrop
Santalaceae,Acanthosyris,glabrata,0.6,South_America_(tropical),204,SouthAmericaTrop
Myrtaceae,Acca,sellowiana,0.75,South_America_(extratropical),114,SouthAmericaExtraTrop
Sapindaceae,Acer,buergerianum,0.62,China,197,China
Sapindaceae,Acer,caesium,0.499,India,135,India
Sapindaceae,Acer,campbellii,0.499,India,135,India
Sapindaceae,Acer,campestre,0.525,Europe,28,Europe
Sapindaceae,Acer,catalpifolium,0.45,South-East_Asia,136,SouthEastAsia
Sapindaceae,Acer,cultratum,0.55,South-East_Asia,136,SouthEastAsia
Sapindaceae,Acer,davidii,0.472,China,33,China
Sapindaceae,Acer,davidii,0.444,China,33,China
Sapindaceae,Acer,decandrum,0.574,China,33,China
Sapindaceae,Acer,decandrum,0.68,China,33,China
Sapindaceae,Acer,decandrum,0.62,China,126,China
Sapindaceae,Acer,decandrum,0.608,China,33,China
Sapindaceae,Acer,decandrum,0.75,China,33,China
Sapindaceae,Acer,laurinum,0.43,South-East_Asia_(tropical),129,SouthEastAsiaTrop
Sapindaceae,Acer,macrophyllum,0.44,NorthAmerica,6,NorthAmerica
Sapindaceae,Acer,mandshuricum,0.585,China,33,China
Sapindaceae,Acer,mono,0.61,China,33,China
Sapindaceae,Acer,mono,0.715,China,33,China
Sapindaceae,Acer,mono,0.564,China,33,China
Sapindaceae,Acer,mono,0.668,China,33,China
Sapindaceae,Acer,negundo,0.416,NorthAmerica,6,NorthAmerica
Sapindaceae,Acer,nigrum,0.52,NorthAmerica,6,NorthAmerica
Sapindaceae,Acer,niveum,0.53,South-East_Asia_(tropical),43,SouthEastAsiaTrop
Sapindaceae,Acer,oblongum,0.603,India,135,India
Sapindaceae,Acer,pensylvanicum,0.44,NorthAmerica,6,NorthAmerica
Sapindaceae,Acer,pensylvanicum,0.44,NorthAmerica,118,NorthAmerica
Sapindaceae,Acer,pictum,0.629,India,135,India
Sapindaceae,Acer,platanoides,0.508,Europe,158,Europe
Sapindaceae,Acer,platanoides,0.525,Europe,28,Europe
Sapindaceae,Acer,pseudoplatanus,0.508,Europe,28,Europe
Sapindaceae,Acer,pseudoplatanus,0.51,Europe,60,Europe
Sapindaceae,Acer,rubrum,0.49,NorthAmerica,6,NorthAmerica
Sapindaceae,Acer,saccharinum,0.44,NorthAmerica,6,NorthAmerica
Sapindaceae,Acer,saccharum,0.56,NorthAmerica,6,NorthAmerica
Sapindaceae,Acer,sterculiaceum,0.353,India,135,India
Sapindaceae,Acer,truncatum,0.59,China,197,China
Elaeocarpaceae,Aceratium,concinnum,0.62,Australia/PNG_(tropical),90,AustraliaTrop
Elaeocarpaceae,Aceratium,concinnum,0.62,Australia/PNG_(tropical),90,AustraliaTrop
Elaeocarpaceae,Aceratium,doggrellii,0.525,Australia/PNG_(tropical),90,AustraliaTrop
Elaeocarpaceae,Aceratium,megalospermum,0.538,Australia/PNG_(tropical),90,AustraliaTrop
Elaeocarpaceae,Aceratium,megalospermum,0.538,Australia/PNG_(tropical),90,AustraliaTrop
Elaeocarpaceae,Aceratium,sericeum,0.42,South-East_Asia_(tropical),129,SouthEastAsiaTrop
Chrysobalanaceae,Acioa,edulis,0.82,South_America_(tropical),41,SouthAmericaTrop
Chrysobalanaceae,Acioa,guianensis,0.86,South_America_(tropical),44,SouthAmericaTrop
Malpighiaceae,Acmanthera,latifolia,0.69,South_America_(tropical),44,SouthAmericaTrop
Myrtaceae,Acmena,acuminatissima,0.63,South-East_Asia_(tropical),126,SouthEastAsiaTrop
Myrtaceae,Acmena,graveolens,0.512,Australia/PNG_(tropical),90,AustraliaTrop
Myrtaceae,Acmena,graveolens,0.512,Australia/PNG_(tropical),90,AustraliaTrop
Myrtaceae,Acmena,hemilampra,0.62,Australia/PNG_(tropical),90,AustraliaTrop
Myrtaceae,Acmena,ingens,0.456,Australia/PNG_(tropical),90,AustraliaTrop
Myrtaceae,Acmena,ingens,0.456,Australia/PNG_(tropical),90,AustraliaTrop
Myrtaceae,Acmena,ingens,0.456,Australia/PNG_(tropical),90,AustraliaTrop
Myrtaceae,Acmena,macrocarpa,0.512,Australia/PNG_(tropical),90,AustraliaTrop
Myrtaceae,Acmena,resa,0.676,Australia/PNG_(tropical),90,AustraliaTrop
Myrtaceae,Acmena,smithii,0.612,Australia,90,Australia
Myrtaceae,Acmena,smithii,0.607,Australia/PNG_(tropical),90,AustraliaTrop
Myrtaceae,Acmena,smithii,0.65,Australia/PNG_(tropical),90,AustraliaTrop
Myrtaceae,Acmena,smithii,0.676,Australia/PNG_(tropical),90,AustraliaTrop
Myrtaceae,Acmena,smithii,0.607,Australia/PNG_(tropical),90,AustraliaTrop
Myrtaceae,Acmena,smithii,0.676,Australia/PNG_(tropical),90,AustraliaTrop
Myrtaceae,Acmenosperma,claviflorum,0.758,Australia/PNG_(tropical),90,AustraliaTrop
Apocynaceae,Acokanthera,oppositifolia,0.784,Africa_(extratropical),72,AfricaExtraTrop
Fabaceae,Acosmium,dasycarpum,0.7,South_America_(extratropical),114,SouthAmericaExtraTrop
Fabaceae,Acosmium,nitens,0.74,South_America_(tropical),134,SouthAmericaTrop
Fabaceae,Acosmium,nitens,0.827,South_America_(tropical),52,SouthAmericaTrop
Fabaceae,Acosmium,nitens,0.82,South_America_(tropical),45,SouthAmericaTrop
Fabaceae,Acosmium,panamense,0.81,South_America_(tropical),204,SouthAmericaTrop
Fabaceae,Acosmium,praeclarum,0.68,South_America_(tropical),52,SouthAmericaTrop
Rutaceae,Acradenia,euodiiformis,0.771,Australia/PNG_(tropical),90,AustraliaTrop
Rutaceae,Acradenia,euodiiformis,0.771,Australia/PNG_(tropical),90,AustraliaTrop
Rutaceae,Acradenia,frankliniae,0.628,Australia,90,Australia
Fabaceae,Acrocarpus,fraxinifolius,0.68,India,26,India
Fabaceae,Acrocarpus,fraxinifolius,0.503,South-East_Asia_(tropical),14,SouthEastAsiaTrop
Rutaceae,Acronychia,acidula,0.551,Australia/PNG_(tropical),90,AustraliaTrop
Rutaceae,Acronychia,acronychioides,0.538,Australia/PNG_(tropical),90,AustraliaTrop
Rutaceae,Acronychia,goniocarpa,0.51,South-East_Asia_(tropical),129,SouthEastAsiaTrop
Rutaceae,Acronychia,haplophylla,0.719,Australia/PNG_(tropical),90,AustraliaTrop
Rutaceae,Acronychia,haplophylla,0.719,Australia/PNG_(tropical),90,AustraliaTrop
Rutaceae,Acronychia,laevis,0.523,Australia/PNG_(tropical),90,AustraliaTrop
Rutaceae,Acronychia,laevis,0.551,Australia/PNG_(tropical),90,AustraliaTrop
Rutaceae,Acronychia,melicopoides,0.538,Australia/PNG_(tropical),90,AustraliaTrop
Rutaceae,Acronychia,octandra,0.551,Australia/PNG_(tropical),90,AustraliaTrop
Rutaceae,Acronychia,octandra,0.551,Australia/PNG_(tropical),90,AustraliaTrop
Rutaceae,Acronychia,oligophlebia,0.37,South-East_Asia_(tropical),126,SouthEastAsiaTrop
Rutaceae,Acronychia,pedunculata,0.439,China,33,China
Rutaceae,Acronychia,pedunculata,0.52,South-East_Asia_(tropical),129,SouthEastAsiaTrop
Rutaceae,Acronychia,pedunculata,0.417,China,33,China
Rutaceae,Acronychia,porteri,0.52,South-East_Asia_(tropical),43,SouthEastAsiaTrop
Rutaceae,Acronychia,pullei,0.65,South-East_Asia_(tropical),129,SouthEastAsiaTrop
Rutaceae,Acronychia,trifoliolata,0.55,South-East_Asia_(tropical),129,SouthEastAsiaTrop
Rutaceae,Acronychia,vestita,0.497,Australia/PNG_(tropical),90,AustraliaTrop
Rutaceae,Acronychia,vestita,0.508,Australia/PNG_(tropical),90,AustraliaTrop
Rutaceae,Acronychia,vestita,0.607,Australia/PNG_(tropical),90,AustraliaTrop
Rutaceae,Acronychia,wilcoxiana,0.551,Australia/PNG_(tropical),90,AustraliaTrop
Lauraceae,Actinodaphne,borneensis,0.5,South-East_Asia_(tropical),177,SouthEastAsiaTrop
Lauraceae,Actinodaphne,glabra,0.52,South-East_Asia_(tropical),129,SouthEastAsiaTrop
Lauraceae,Actinodaphne,glomerata,0.41,South-East_Asia_(tropical),129,SouthEastAsiaTrop
Lauraceae,Actinodaphne,maingayi,0.59,South-East_Asia_(tropical),43,SouthEastAsiaTrop
Lauraceae,Actinodaphne,malaccensis,0.55,South-East_Asia_(tropical),43,SouthEastAsiaTrop
Lauraceae,Actinodaphne,procera,0.4,South-East_Asia_(tropical),129,SouthEastAsiaTrop
Lauraceae,Actinodaphne,sesquipedalis,0.65,South-East_Asia_(tropical),43,SouthEastAsiaTrop
Lauraceae,Actinodaphne,sphaerocarpa,0.46,South-East_Asia_(tropical),43,SouthEastAsiaTrop
Euphorbiaceae,Actinostemon,lanceolatus,0.907,South_America_(extratropical),121,SouthAmericaExtraTrop
Malvaceae,Adansonia,digitata,0.276,Africa_(tropical),4,AfricaTrop
Euphorbiaceae,Adelia,oaxacana,0.87,Mexico,23,Mexico
Euphorbiaceae,Adelia,triloba,0.543,Central_America_(tropical),168,CentralAmericaTrop
Fabaceae,Adenanthera,bicolor,0.85,South-East_Asia_(tropical),43,SouthEastAsiaTrop
Fabaceae,Adenanthera,intermedia,0.78,South-East_Asia_(tropical),80,SouthEastAsiaTrop
Fabaceae,Adenanthera,microsperma,0.64,South-East_Asia_(tropical),16,SouthEastAsiaTrop
Fabaceae,Adenanthera,pavonina,0.7,South-East_Asia_(tropical),111,SouthEastAsiaTrop
Fabaceae,Adenanthera,pavonina,0.573,China,33,China
Fabaceae,Adenanthera,pavonina,0.637,China,33,China
Fabaceae,Adenanthera,pavonina,0.57,South-East_Asia_(tropical),126,SouthEastAsiaTrop
Fabaceae,Adenanthera,pavonina,0.88,India,26,India
Fabaceae,Adenanthera,pavonina,0.77,South-East_Asia_(tropical),43,SouthEastAsiaTrop
Fabaceae,Adenanthera,pavonina,0.598,China,33,China
Fabaceae,Adenanthera,pavonina,0.68,China,33,China
Fabaceae,Adenanthera,pavonina,0.775,Australia/PNG_(tropical),27,AustraliaTrop
Fabaceae,Adenanthera,tamarindifolia,0.73,South-East_Asia_(tropical),129,SouthEastAsiaTrop
Rosaceae,Adenostoma,fasciculatum,0.75,NorthAmerica,3,NorthAmerica
Rubiaceae,Adina,cordifolia,0.59,India,109,India
Rubiaceae,Adina,globiflora,0.92,China,31,China
Rubiaceae,Adina,microcephala,0.75,South-East_Asia,136,SouthEastAsia
Rubiaceae,Adina,pilulifera,0.865,China,33,China
